Term #,Value,Time Taken (seconds)
0,0,0.000000256
1,1,0.000000266
2,1,0.000000245
3,2,0.000000320
4,3,0.000000406
5,5,0.000000526
6,8,0.000000757
7,13,0.000001002
8,21,0.000001063
9,34,0.000001628
10,55,0.000001924
11,89,0.000002896
12,144,0.000004384
13,233,0.000005852
14,377,0.000008272
15,610,0.000011490
16,987,0.000015022
17,1597,0.000021977
18,2584,0.000033241
19,4181,0.000051746
20,6765,0.000085684
21,10946,0.000131357
22,17711,0.000222328
23,28657,0.000336583
24,46368,0.000584677
25,75025,0.000905647
26,121393,0.001549200
27,196418,0.002405982
28,317811,0.004200233
29,514229,0.006037454
30,832040,0.009879168
31,1346269,0.013630697
32,2178309,0.015481420
33,3524578,0.021631604
34,5702887,0.031427117
35,9227465,0.042868491
36,14930352,0.044817049
37,24157817,0.067492983
38,39088169,0.106730547
39,63245986,0.175549444
40,102334155,0.276082882
41,165580141,0.459517300
42,267914296,0.718154606
43,433494437,1.205841022
44,701408733,1.882760072
45,1134903170,3.166245332
46,1836311903,4.946851041
47,2971215073,8.309860766
48,4807526976,13.232191075
49,7778742049,22.844673512
50,12586269025,34.225880700
